CEP;Loja_ID;Nome_Loja;Produto;Marca;Preco
05418010;842;1166 - Pompéia;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
05418010;842;1166 - Pompéia;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
05418010;842;1166 - Pompéia;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
05418010;841;1207 - Pça Pan Umburanas ;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
05418010;841;1207 - Pça Pan Umburanas ;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
05418010;841;1207 - Pça Pan Umburanas ;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
05418010;201;0150 - Cardoso De Almeida;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
05418010;201;0150 - Cardoso De Almeida;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
05418010;201;0150 - Cardoso De Almeida;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
05418010;101;0009 - Gabriel Monteiro;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
05418010;101;0009 - Gabriel Monteiro;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
05418010;101;0009 - Gabriel Monteiro;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
05418010;2953;1481 - Diogenes;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
05418010;2953;1481 - Diogenes;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
05418010;2953;1481 - Diogenes;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
05418010;10;2349 - Teodoro Sampaio;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
05418010;10;2349 - Teodoro Sampaio;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
05418010;10;2349 - Teodoro Sampaio;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
05418010;941;1224 - Oscar Freire;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
05418010;941;1224 - Oscar Freire;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
05418010;941;1224 - Oscar Freire;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
05418010;1969;0008 - Consolação;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
05418010;1969;0008 - Consolação;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
05418010;1969;0008 - Consolação;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
05418010;2354;0183 - Rebouças;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
05418010;2354;0183 - Rebouças;Leite Longa Vida Desnatado ITALAC 1L;ITALAC;6.79
05418010;2354;0183 - Rebouças;Leite Desnatado Molico Zero Lactose 1L;MOLICO;8.29
