CEP;Loja_ID;Nome_Loja;Produto;Marca;Preco
03169030;3155;5098 - Minuto Assungui;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
03169030;3155;5098 - Minuto Assungui;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
03169030;3155;5098 - Minuto Assungui;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
03169030;221;1289 - Tatuapé;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
03169030;221;1289 - Tatuapé;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
03169030;221;1289 - Tatuapé;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
03169030;1061;0004 - Anália Franco;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
03169030;1061;0004 - Anália Franco;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
03169030;1061;0004 - Anália Franco;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
03169030;2452;5101 - Minuto Paes De Barros;Leite UHT Integral Qualitá Caixa com Tampa 1l;QUALITÁ;5.79
03169030;2452;5101 - Minuto Paes De Barros;Leite UHT Desnatado Molico Caixa com Tampa 1L;MOLICO;8.29
03169030;2452;5101 - Minuto Paes De Barros;Leite UHT Integral Ninho Forti+ Caixa com Tampa 1L;NINHO;8.79
